epoch,acc,loss,val_acc,val_loss
0,0.7573647058823529,0.6152524202277555,0.7332361516382534,0.6041487936028238
1,0.8113882352941176,0.4532407623627607,0.7705539358774357,0.5180137596742057
2,0.8300235294117647,0.4040441750947167,0.7889212827988338,0.47874049208949676
3,0.8415058823529412,0.37606247482580296,0.8049562682215743,0.44430201433316613
4,0.8520941176470588,0.352718761817837,0.826530612244898,0.4271171665834616
5,0.8626823529411765,0.33381950399196325,0.8134110787172012,0.4380183745403679
6,0.8684705882352941,0.32106296352148056,0.8390670553588311,0.3849860765669853
7,0.8751529411764706,0.30531319537548457,0.8396501458073496,0.37624366985465624
8,0.8784941176470589,0.2948602842674536,0.8440233236151603,0.36267227575660793
9,0.8848941176470588,0.2850572073316092,0.856268221574344,0.3420752259020208
10,0.8881411764705882,0.28064702728180324,0.8478134111134721,0.3576542176588631
11,0.8926588235294117,0.26940389713294366,0.8498542274052479,0.3648621207771079
12,0.8944470588235294,0.2619973490444615,0.8699708455158045,0.32625743581671757
13,0.8968,0.2598633292075685,0.8635568512771985,0.3298331644375192
14,0.8977882352941177,0.25174652807572306,0.8708454810495627,0.31460876419662387
15,0.9024941176470588,0.24402594731835758,0.8723032069623297,0.30766749176965164
16,0.9028705882352941,0.2441475648431209,0.8752186589268832,0.31303609915446956
17,0.9067294117647059,0.23305124175513492,0.8746355685478744,0.3063454732950505
18,0.9077176470588235,0.23494004108765545,0.8688046646882772,0.3133130660731313
19,0.9098352941176471,0.22596141990212804,0.8795918367694487,0.30405567109411036
20,0.9140235294117647,0.21777982920756536,0.8685131194987729,0.3185729110727505
21,0.9155294117647059,0.21327230646469864,0.8746355684783647,0.3055730978879567
22,0.9153411764705882,0.21345667171758764,0.8860058308690352,0.290153155573603
23,0.9168941176470589,0.2120590793721816,0.8807580174579565,0.2932306837236221
24,0.9206117647058824,0.2047476604053422,0.8877551020060614,0.31262075113833127
25,0.9195294117647059,0.20498035487256505,0.8918367347286325,0.2857699946828903
26,0.9183058823529412,0.20310483397871962,0.8924198250381314,0.26480693800630095
27,0.9212235294117647,0.19743876468188623,0.8897959183325921,0.28634354418290253
28,0.9225411764705882,0.1946334870284533,0.8752186588573734,0.33298871835188687
29,0.9243294117647058,0.19082751592502875,0.8921282798486271,0.2713112367659199
30,0.9284705882352942,0.18454813549657503,0.8915451895043732,0.2810395887137849
31,0.9275764705882353,0.18547397761667037,0.8924198250728863,0.2826920684177222
32,0.9271529411764706,0.1865402164879967,0.899125364396732,0.2581127108186049
33,0.9282823529411764,0.1804367999090868,0.8804664722684521,0.31290848850335046
34,0.9304,0.17909914947765715,0.9008746355685131,0.2734413808010758
35,0.9341176470588235,0.1720955377017599,0.8827988337844871,0.284474011143512
36,0.932235294117647,0.17052373365935158,0.8979591836734694,0.28401512942838947
37,0.9319529411764705,0.16993229714702157,0.899125364396732,0.29071903880414046
38,0.9363294117647059,0.1644320548590492,0.8988338192419825,0.29180932510481283
39,0.9350117647058823,0.1673447145749541,0.9020408163265307,0.30922105009110956
40,0.9347294117647059,0.16606997375873958,0.8769679300639094,0.3022612763563329
